time,open,high,low,close,vol,mount
2014/04/16 10:38:32.100,2230.8,2231.0,2230.8,2230.8,4,61959
2014/04/16 10:38:32.600,2230.8,2230.8,2230.6,2230.8,10,61955
2014/04/16 10:38:33.100,2230.8,2230.8,2230.6,2230.8,4,61952
2014/04/16 10:38:33.600,2230.6,2230.8,2230.6,2230.6,8,61952
2014/04/16 10:38:34.100,2230.6,2230.8,2230.6,2230.6,7,61946
2014/04/16 10:38:34.600,2230.8,2230.8,2230.6,2230.8,6,61945
2014/04/16 10:38:35.100,2230.8,2230.8,2230.6,2230.8,11,61939
2014/04/16 10:38:35.600,2230.6,2230.6,2230.4,2230.6,23,61921
2014/04/16 10:38:36.100,2230.4,2230.4,2230.2,2230.4,60,61894
2014/04/16 10:38:36.600,2230.4,2230.4,2230.2,2230.4,59,61879
2014/04/16 10:38:37.100,2230.2,2230.4,2230.2,2230.2,87,61860
2014/04/16 10:38:37.600,2230.0,2230.2,2230.0,2230.0,60,61857
2014/04/16 10:38:38.100,2230.0,2230.2,2230.0,2230.0,38,61849
2014/04/16 10:38:38.600,2229.8,2230.0,2229.8,2229.8,121,61778
2014/04/16 10:38:39.100,2229.8,2229.8,2229.4,2229.8,86,61772
2014/04/16 10:38:39.600,2229.6,2229.8,2229.6,2229.6,14,61773
2014/04/16 10:38:40.100,2229.6,2229.6,2229.4,2229.6,65,61739
2014/04/16 10:38:40.600,2229.4,2230.0,2229.6,2229.4,94,61684
2014/04/16 10:38:41.100,2229.6,2229.8,2229.6,2229.6,17,61685
2014/04/16 10:38:41.600,2229.6,2229.8,2229.6,2229.6,54,61690
2014/04/16 10:38:42.100,2230.0,2230.0,2229.8,2230.0,76,61694
2014/04/16 10:38:42.600,2229.8,2229.8,2229.6,2229.8,26,61686
2014/04/16 10:38:43.100,2229.8,2229.8,2229.6,2229.8,19,61683
2014/04/16 10:38:43.600,2229.8,2229.8,2229.6,2229.8,16,61680
2014/04/16 10:38:44.100,2229.8,2230.2,2229.6,2229.8,23,61676
2014/04/16 10:38:44.600,2229.8,2230.0,2229.8,2229.8,7,61680
2014/04/16 10:38:45.100,2229.8,2229.8,2229.6,2229.8,16,61672
2014/04/16 10:38:45.600,2229.8,2230.0,2229.8,2229.8,27,61690
2014/04/16 10:38:46.100,2229.8,2230.0,2229.8,2229.8,23,61711
2014/04/16 10:38:46.600,2229.8,2229.8,2229.6,2229.8,30,61703
2014/04/16 10:38:47.100,2229.6,2229.6,2229.4,2229.6,8,61706
2014/04/16 10:38:47.600,2229.6,2229.6,2229.4,2229.6,4,61705
2014/04/16 10:38:48.100,2229.6,2229.8,2229.6,2229.6,10,61700
2014/04/16 10:38:48.600,2229.8,2230.0,2229.8,2229.8,46,61722
2014/04/16 10:38:49.100,2229.8,2230.0,2229.8,2229.8,8,61726
2014/04/16 10:38:49.600,2229.8,2230.0,2229.8,2229.8,32,61741
2014/04/16 10:38:50.100,2229.8,2229.8,2229.6,2229.8,4,61739
2014/04/16 10:38:50.600,2229.8,2229.8,2229.6,2229.8,17,61739
2014/04/16 10:38:51.100,2229.8,2230.0,2229.8,2229.8,4,61738
2014/04/16 10:38:51.600,2229.8,2230.0,2229.8,2229.8,13,61736
2014/04/16 10:38:52.100,2230.0,2230.0,2229.8,2230.0,35,61744
2014/04/16 10:38:52.600,2230.0,2230.2,2229.8,2230.0,18,61746
2014/04/16 10:38:53.100,2230.2,2230.2,2230.0,2230.2,10,61749
2014/04/16 10:38:53.600,2230.2,2230.2,2230.0,2230.2,20,61752
2014/04/16 10:38:54.100,2230.0,2230.0,2229.8,2230.0,12,61750
2014/04/16 10:38:54.600,2229.8,2230.0,2229.8,2229.8,6,61750
2014/04/16 10:38:55.100,2229.8,2230.0,2229.8,2229.8,2,61750
2014/04/16 10:38:55.600,2229.8,2230.0,2229.8,2229.8,2,61749
2014/04/16 10:38:56.100,2229.8,2230.0,2229.8,2229.8,5,61747
2014/04/16 10:38:56.600,2229.8,2230.0,2229.8,2229.8,15,61738
2014/04/16 10:38:57.100,2230.0,2230.2,2230.0,2230.0,53,61711
2014/04/16 10:38:57.600,2230.2,2230.2,2230.0,2230.2,6,61710
2014/04/16 10:38:58.100,2230.0,2230.2,2230.0,2230.0,7,61704
2014/04/16 10:38:58.600,2230.0,2230.2,2230.0,2230.0,7,61706
2014/04/16 10:38:59.100,2230.0,2230.2,2230.0,2230.0,12,61707
2014/04/16 10:38:59.600,2230.0,2230.2,2230.0,2230.0,7,61710
2014/04/16 10:39:00.100,2230.0,2230.2,2230.0,2230.0,16,61726
2014/04/16 10:39:00.600,2230.0,2230.0,2229.8,2230.0,22,61731
2014/04/16 10:39:01.100,2230.0,2230.2,2230.0,2230.0,54,61733
2014/04/16 10:39:01.600,2230.2,2230.2,2230.0,2230.2,22,61748
2014/04/16 10:39:02.100,2229.8,2230.0,2229.8,2229.8,4,61750
2014/04/16 10:39:02.600,2230.0,2230.2,2230.0,2230.0,19,61751
2014/04/16 10:39:03.100,2230.0,2230.2,2230.0,2230.0,11,61750
2014/04/16 10:39:03.600,2230.0,2230.2,2230.0,2230.0,3,61749
2014/04/16 10:39:04.100,2230.0,2230.0,2229.8,2230.0,6,61749
2014/04/16 10:39:04.600,2229.8,2230.0,2229.8,2229.8,1,61750
2014/04/16 10:39:05.100,2230.0,2230.0,2229.8,2230.0,4,61751
2014/04/16 10:39:05.600,2229.8,2230.0,2229.8,2229.8,14,61753
2014/04/16 10:39:06.100,2230.0,2230.2,2230.0,2230.0,22,61749
2014/04/16 10:39:06.600,2229.8,2230.0,2229.8,2229.8,10,61750
2014/04/16 10:39:07.100,2230.0,2230.0,2229.8,2230.0,8,61750
2014/04/16 10:39:07.600,2229.8,2230.0,2229.8,2229.8,9,61744
2014/04/16 10:39:08.100,2229.8,2230.0,2229.8,2229.8,6,61742
2014/04/16 10:39:08.600,2229.8,2230.0,2229.8,2229.8,9,61742
2014/04/16 10:39:09.100,2230.0,2230.0,2229.8,2230.0,16,61733
2014/04/16 10:39:09.600,2230.2,2230.2,2229.8,2230.2,13,61737
2014/04/16 10:39:10.100,2229.8,2229.8,2229.6,2229.8,10,61740
2014/04/16 10:39:10.600,2229.8,2230.0,2229.8,2229.8,5,61740
2014/04/16 10:39:11.100,2229.8,2230.0,2229.8,2229.8,18,61731
2014/04/16 10:39:11.600,2229.8,2229.8,2229.6,2229.8,5,61731
2014/04/16 10:39:12.100,2229.8,2229.8,2229.6,2229.8,5,61733
2014/04/16 10:39:12.600,2229.8,2229.8,2229.6,2229.8,11,61731
2014/04/16 10:39:13.100,2229.6,2229.8,2229.6,2229.6,10,61733
2014/04/16 10:39:13.600,2229.6,2229.8,2229.6,2229.6,19,61740
2014/04/16 10:39:14.100,2229.4,2229.6,2229.4,2229.4,24,61734
2014/04/16 10:39:14.600,2229.6,2229.6,2229.4,2229.6,11,61728
